# Residuals         
# Time              	p                   	Ux                  	Uy                  
0.275               	1.935132732537e-02	4.673497668983e-03	2.558985621616e-02
0.28                	1.929763632625e-02	4.571331322887e-03	2.523523170438e-02
0.285               	1.918347583682e-02	4.466504275924e-03	2.477535294181e-02
0.29                	1.910174621324e-02	4.356141966883e-03	2.420998835448e-02
0.295               	1.896639544337e-02	4.247018462974e-03	2.355021112436e-02
0.3                 	1.863666741809e-02	4.141729466206e-03	2.282110085207e-02
0.305               	1.821683978101e-02	4.038320468289e-03	2.206986947451e-02
0.31                	1.775881659367e-02	3.939244477616e-03	2.134908780768e-02
0.315               	1.718675393713e-02	3.861780617337e-03	2.073075360676e-02
0.32                	1.679519313408e-02	3.803208505751e-03	2.016784730065e-02
0.325               	1.654770897564e-02	3.752765472723e-03	1.969169859805e-02
0.33                	1.645310575967e-02	3.725428849862e-03	1.936910798947e-02
0.335               	1.663882328193e-02	3.733694617544e-03	1.915037745794e-02
0.34                	1.698540152592e-02	3.789820316066e-03	1.914934921294e-02
0.345               	1.759050754087e-02	3.883773094865e-03	1.942616960586e-02
0.35                	1.828095052072e-02	4.007565753397e-03	1.995357612282e-02
0.355               	1.894505495569e-02	4.139363714431e-03	2.051764750041e-02
0.36                	1.913482585286e-02	4.252969748628e-03	2.088125288389e-02
0.365               	1.890299148901e-02	4.349219558401e-03	2.124634608119e-02
0.37                	1.806423506307e-02	4.438375722848e-03	2.173654428653e-02
0.375               	1.686747481430e-02	4.545254316089e-03	2.248581863584e-02
0.38                	1.625486737592e-02	4.690123533973e-03	2.358165514340e-02
0.385               	1.661973850230e-02	4.872316863917e-03	2.493702937683e-02
0.39                	1.769135757850e-02	5.077088730442e-03	2.642067562658e-02
0.395               	1.912364711579e-02	5.278397746838e-03	2.799567203493e-02
0.4                 	2.079784249335e-02	5.459108338672e-03	2.956676255887e-02
0.405               	2.247453926379e-02	5.616865882211e-03	3.103039226302e-02
0.41                	2.390308955985e-02	5.742434656948e-03	3.232056472239e-02
0.415               	2.501232990306e-02	5.827203644257e-03	3.338584790430e-02
0.42                	2.565350277647e-02	5.873447007788e-03	3.423206149728e-02
0.425               	2.595682004877e-02	5.887990648079e-03	3.481052003251e-02
0.43                	2.605333684507e-02	5.883001813180e-03	3.515897449813e-02
0.435               	2.600596531546e-02	5.862050722905e-03	3.530210293710e-02
0.44                	2.578151247329e-02	5.833550663605e-03	3.525132791778e-02
0.445               	2.550632787662e-02	5.793635347081e-03	3.499699229921e-02
0.45                	2.510457155522e-02	5.743342474074e-03	3.451623626147e-02
0.455               	2.452859791592e-02	5.677505770833e-03	3.382893139297e-02
0.46                	2.388309381763e-02	5.600896734407e-03	3.297100887248e-02
0.465               	2.320252326280e-02	5.516169686426e-03	3.195979220241e-02
0.47                	2.254578115770e-02	5.423531026130e-03	3.090760161583e-02
0.475               	2.191489144128e-02	5.326284372678e-03	2.989359778900e-02
0.48                	2.125862784926e-02	5.231941724226e-03	2.895503019340e-02
0.485               	2.053699500532e-02	5.140731773541e-03	2.807063445538e-02
0.49                	1.970597268826e-02	5.056219279973e-03	2.729867763739e-02
0.495               	1.876765000003e-02	4.978669624000e-03	2.665834528021e-02
0.5                 	1.776253644050e-02	4.902879397133e-03	2.610123241904e-02
0.505               	1.675145344591e-02	4.828315417990e-03	2.563210583435e-02
0.51                	1.585843176589e-02	4.754107231060e-03	2.522027908245e-02
0.515               	1.514327326912e-02	4.687786944494e-03	2.487622063341e-02
0.52                	1.457231844974e-02	4.629361823641e-03	2.459742370237e-02
0.525               	1.413874707312e-02	4.581584820599e-03	2.436604094119e-02
0.53                	1.382088365541e-02	4.550337751408e-03	2.418569094285e-02
0.535               	1.351499886696e-02	4.538162200913e-03	2.405998529739e-02
0.54                	1.329198943227e-02	4.541318471083e-03	2.398591237886e-02
0.545               	1.321760965161e-02	4.561515030702e-03	2.398295123961e-02
0.55                	1.318260574025e-02	4.602448543385e-03	2.410095907114e-02
0.555               	1.320750116471e-02	4.665008159027e-03	2.430207841536e-02
0.56                	1.333413587170e-02	4.747504183367e-03	2.458320261729e-02
0.565               	1.347857689509e-02	4.846610597873e-03	2.494773010802e-02
0.57                	1.364646873535e-02	4.964182627199e-03	2.539361998431e-02
0.575               	1.392433669847e-02	5.096390535494e-03	2.590521868678e-02
