# Forces            
# CofR              : (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
# Time              forces(pressure viscous porous)	moments(pressure viscous porous)
0.315               	((-7.124555750578e-04 2.337970221827e-01 9.938138752420e-22) (-2.218988942818e-01 -1.553624497869e-03 -6.833375584748e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((5.942088731316e-21 -8.506196520417e-21 1.671359657709e+00) (-4.106745032122e-18 5.625380070134e-18 1.315328930401e+00) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.32                	((1.530647372137e-03 2.807659161489e-01 1.910223835423e-21) (-2.125858989522e-01 -1.466868576628e-03 1.440099431834e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((1.152485819723e-20 -1.327973428267e-20 2.002390535046e+00) (8.647538763263e-18 -1.274537513850e-17 1.260170354929e+00) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.325               	((3.149322965727e-03 3.377782052480e-01 -1.024987179688e-21) (-2.031112827757e-01 -1.274872203658e-03 5.463058237460e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-5.888277533448e-21 9.486377269177e-21 2.413997280176e+00) (3.301988654575e-18 -4.719551852679e-18 1.205056231868e+00) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.33                	((4.120423077137e-03 4.040223824741e-01 2.122010091344e-21) (-1.941617166578e-01 -1.003668451740e-03 -4.360917577849e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((1.281426443589e-20 -1.775643182226e-20 2.903956681937e+00) (-2.600068123696e-18 5.009692384615e-18 1.153840664679e+00) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.335               	((4.340811856977e-03 4.643926029763e-01 -1.210656972718e-21) (-1.861984211981e-01 -7.126878206999e-04 -6.651600254156e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-7.293734668700e-21 8.515287603977e-21 3.347600629721e+00) (-4.012398847606e-18 5.564480622727e-18 1.108734074942e+00) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.34                	((3.830043912348e-03 5.179462818422e-01 -2.706620732792e-23) (-1.797314684905e-01 -4.337771996643e-04 4.200927287371e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-1.164151600443e-22 6.195774115211e-24 3.748790806063e+00) (2.447618651074e-18 -3.618808001017e-18 1.072467299243e+00) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.345               	((2.656047153571e-03 5.638647384851e-01 1.583746453891e-21) (-1.752913255503e-01 -2.122425170828e-04 3.111335815221e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((9.460228621734e-21 -1.369671183663e-20 4.092233315287e+00) (1.856196677804e-17 -2.946025841008e-17 1.047809974082e+00) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.35                	((9.992365316451e-04 5.757741923578e-01 -2.858262907601e-21) (-1.729925081574e-01 -9.148106074196e-05 -4.336804684164e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-1.703084314447e-20 2.473371202293e-20 4.172453874632e+00) (-2.613576764259e-18 3.559590273627e-18 1.035119521717e+00) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.355               	((-8.376472668114e-04 5.949635350460e-01 -3.584030433287e-21) (-1.725118818980e-01 1.733894664429e-05 3.851950541341e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-2.161851629764e-20 2.675191105050e-20 4.303543099833e+00) (2.301013982216e-17 -3.541008807955e-17 1.033163129407e+00) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.36                	((-2.387739338699e-03 6.114465458966e-01 -9.921405167343e-22) (-1.731315364630e-01 1.282067210797e-04 -8.694865998321e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-5.964905118541e-21 1.375851013586e-20 4.414069546168e+00) (-5.343303710285e-18 7.720771992385e-18 1.037820500146e+00) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.365               	((-3.064071129094e-03 6.320869324870e-01 8.757629164983e-21) (-1.737404687456e-01 2.414267020290e-04 -1.358160183056e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((5.260045679546e-20 -7.102560275812e-20 4.546871309648e+00) (-8.156540913276e-18 1.261117723392e-17 1.042469115653e+00) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.37                	((-2.483448914439e-03 6.493445136955e-01 1.673355267566e-21) (-1.730483855410e-01 3.584281303990e-04 1.321136035976e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((1.000144589410e-20 -1.470783297724e-20 4.646253998777e+00) (7.917685407323e-18 -1.355776220359e-17 1.039386819050e+00) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.375               	((-4.952086025423e-04 6.617202859611e-01 -5.151425930098e-21) (-1.697566039255e-01 4.724047973575e-04 -2.915648316793e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-3.083028896786e-20 4.373001252453e-20 4.704276919975e+00) (-1.702919993325e-18 2.577360729708e-18 1.020745453996e+00) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.38                	((2.955804860273e-03 6.814666960717e-01 -6.672137095450e-21) (-1.628283223719e-01 5.817503888553e-04 -2.892236862866e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-4.007520906353e-20 5.494799308016e-20 4.807023913504e+00) (-1.738485528807e-17 2.594693257663e-17 9.803300302088e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.385               	((7.809629226441e-03 7.078063757885e-01 2.113618545929e-21) (-1.516891912792e-01 6.810691473224e-04 3.245945910752e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((1.266690018974e-20 -2.242667825362e-20 4.946908375156e+00) (1.946971785855e-17 -2.969608687147e-17 9.146310564175e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.39                	((1.389658264623e-02 7.275078398757e-01 3.912636044461e-21) (-1.362226550076e-01 7.766689955587e-04 -4.101730175544e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((2.339800266219e-20 -3.513610127327e-20 5.026317856551e+00) (-2.450431868839e-18 4.501688800834e-18 8.229907417965e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.395               	((2.103785374395e-02 7.490104632739e-01 3.146905826430e-21) (-1.166534142946e-01 8.163806516156e-04 -2.355683247520e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((1.900188507990e-20 -2.049535932025e-20 5.100017986615e+00) (-1.413502348370e-17 2.196677749502e-17 7.063233480741e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.4                 	((2.883548975232e-02 7.702519881998e-01 -8.893128194143e-21) (-9.350494645724e-02 7.752976091915e-04 1.197490897364e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-5.329322045511e-20 7.944171238391e-20 5.155344748708e+00) (7.199374142928e-18 -1.165371016506e-17 5.674430262896e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.405               	((3.677804016458e-02 7.786309415542e-01 -4.150599027378e-21) (-6.762458517994e-02 6.806698773107e-04 -4.978633205259e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-2.485937196354e-20 3.493862589875e-20 5.118051935726e+00) (-2.965267326593e-17 4.656412937108e-17 4.116722933847e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.41                	((4.426411249650e-02 7.913994531356e-01 1.094716197667e-21) (-4.058305001063e-02 8.606603797787e-04 -7.407973872072e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((6.606442042630e-21 -1.455102955919e-20 5.121805933291e+00) (-4.419297991023e-17 6.898163748704e-17 2.514581241742e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.415               	((5.069185541414e-02 8.096525218369e-01 4.089445879447e-21) (-1.410021528329e-02 1.150899792889e-04 4.390360541481e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((2.440227658932e-20 -3.528047042658e-20 5.174973692452e+00) (2.625585365907e-17 -4.094969190423e-17 8.586649719386e-02) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.42                	((5.557788939548e-02 8.444689565257e-01 7.750968282647e-22) (9.962507421836e-03 -3.506699431995e-04 6.782104797583e-21) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((4.641214282015e-21 -6.803941598896e-21 5.360441435631e+00) (-1.524821187247e-19 -4.359883316973e-19 -6.262750734499e-02) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.425               	((5.856460527837e-02 8.874006779995e-01 3.003480705018e-21) (3.009544239294e-02 -6.314344529010e-04 1.123437579271e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((1.803139506123e-20 -2.603104220631e-20 5.630270341420e+00) (6.707962207821e-18 -1.009815635078e-17 -1.858801045165e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.43                	((5.955866793931e-02 9.448668116412e-01 -1.255725145302e-21) (4.522503375920e-02 -8.842836460810e-04 1.463671937678e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-7.610692869763e-21 1.133879160545e-20 6.030134407558e+00) (8.787076781896e-18 -1.409754768638e-17 -2.789641490923e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.435               	((5.869458999843e-02 1.011692954863e+00 1.043520009170e-21) (5.451570188005e-02 -1.479313229479e-03 -2.736724573500e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((6.249279162254e-21 -1.003576155226e-20 6.523425114723e+00) (-1.639732532995e-17 2.624525690949e-17 -3.403749178421e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.44                	((5.605258819544e-02 1.090595063863e+00 -5.500132645381e-22) (5.722267373253e-02 -1.462025610756e-03 3.022007266520e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-3.350923283170e-21 3.683997871320e-21 7.124761265922e+00) (1.821734683871e-17 -2.835007903154e-17 -3.566173232813e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.445               	((5.189804359990e-02 1.175360650369e+00 -1.018021826139e-22) (5.312359874893e-02 -1.785592878271e-03 -6.926441019250e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-6.096372245409e-22 7.975512263184e-22 7.786838098547e+00) (-4.163072082233e-18 6.728621312512e-18 -3.352534500471e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.45                	((4.721309593347e-02 1.273601014312e+00 -3.234766195997e-22) (4.301846437363e-02 -1.694425002851e-03 2.112276739088e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-1.969903773713e-21 1.813038243844e-21 8.561629675795e+00) (1.259901023138e-18 -1.925474260266e-18 -2.738912558111e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.455               	((4.216138754939e-02 1.377595514242e+00 3.130251081533e-22) (2.851731405693e-02 -1.370313872958e-03 -4.957367057573e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((1.875239047035e-21 -1.318689960882e-21 9.388262333273e+00) (-2.982630447683e-18 4.434988929734e-18 -1.838711469247e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.46                	((3.684536885932e-02 1.487075762278e+00 -2.871863355931e-22) (1.115632848152e-02 -1.157190742062e-03 -5.414593931812e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-1.662023038049e-21 2.928484255675e-21 1.026936297380e+01) (-3.257806002686e-18 5.238273226726e-18 -7.763765868074e-02) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.465               	((3.141135771655e-02 1.597217597282e+00 -1.193585144817e-21) (-7.593873240833e-03 -1.066925582345e-03 -8.913853330306e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-7.172902629896e-21 6.797016405292e-21 1.117631207751e+01) (-5.324011867606e-18 8.451397656265e-18 3.585242088528e-02) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.47                	((2.591971600963e-02 1.707585614050e+00 1.552203689171e-21) (-2.660445666470e-02 -9.222412026107e-04 1.152659098968e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((9.340065500692e-21 -1.690669021746e-20 1.210331409197e+01) (6.945677316403e-19 -8.484691614710e-19 1.515369015017e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.475               	((2.053334142618e-02 1.815509960310e+00 3.975056028265e-21) (-4.552315811358e-02 -8.772041767950e-04 -2.111138031078e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((2.395065723530e-20 -3.243309719692e-20 1.302616204747e+01) (-1.260933576421e-18 1.706615250553e-18 2.658507039261e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.48                	((1.531663889046e-02 1.921952128849e+00 -3.054692316965e-21) (-6.370389079275e-02 -7.618579416092e-04 -1.571092290447e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-1.840232979826e-20 2.276014342654e-20 1.394705675890e+01) (-9.615672143097e-19 1.020162483447e-18 3.765134492449e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.485               	((1.026576767744e-02 2.026099561651e+00 -7.343002801665e-21) (-8.110264561815e-02 -6.493871073911e-04 5.589305528623e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-4.409698393392e-20 5.794280907729e-20 1.485864066370e+01) (3.355307929096e-18 -4.352825877880e-18 4.825633820920e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.49                	((5.442986349504e-03 2.128636193995e+00 -3.223902740360e-21) (-9.738859323723e-02 -6.015232383837e-04 1.804856380774e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-1.937133487043e-20 3.828697390714e-20 1.576007575167e+01) (1.089020095516e-18 -1.885473210387e-18 5.814323157648e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.495               	((9.880391728899e-04 2.220866488875e+00 -3.642841984791e-21) (-1.122105852185e-01 -5.786846047582e-04 2.705627450582e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-2.184433978080e-20 2.476087552811e-20 1.658098364150e+01) (1.629316839653e-18 -2.045225969966e-18 6.713833113587e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.5                 	((-3.086219577007e-03 2.298687054458e+00 1.659038441326e-20) (-1.252773697691e-01 -5.139096547207e-04 -5.718657592065e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((1.001767820396e-19 -1.181969258542e-19 1.728549080146e+01) (-3.442658702289e-18 4.641434113857e-18 7.513466856666e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.505               	((-6.558772476031e-03 2.357336944389e+00 -5.521976345236e-21) (-1.363931932330e-01 -3.151298418116e-04 4.547055392696e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-3.315446569830e-20 3.142907160411e-20 1.783247982636e+01) (2.725282495350e-18 -3.757038932041e-18 8.210019832047e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.51                	((-9.446376213763e-03 2.395677218812e+00 -4.049791308344e-21) (-1.452651045557e-01 1.257936715641e-04 2.904505817613e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-2.398462594382e-20 3.209487452012e-20 1.821365152486e+01) (1.754347240298e-18 -2.309488280038e-18 8.796153511073e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.515               	((-1.170596834216e-02 2.412863328600e+00 1.268117760461e-20) (-1.516178796408e-01 8.192542932500e-04 -6.510702907746e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((7.698842026085e-20 -1.038879811385e-19 1.842132752010e+01) (-3.943569098832e-18 5.531361366326e-18 9.255957384059e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.52                	((-1.328306720767e-02 2.409319403180e+00 -4.058716349364e-21) (-1.553556441178e-01 1.613477486927e-03 8.708459073720e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-2.416957755428e-20 2.412587171191e-20 1.846029646003e+01) (5.273626141622e-18 -7.424565876790e-18 9.568652026696e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.525               	((-1.422418960259e-02 2.383722008326e+00 2.281888031892e-20) (-1.562575488416e-01 2.605254165421e-03 -2.602895197276e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((1.377579313950e-19 -1.677517671353e-19 1.832416837078e+01) (-1.574297069497e-18 2.240664870821e-18 9.729962775685e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.53                	((-1.456212866623e-02 2.335377002896e+00 -1.723654926414e-20) (-1.539012296641e-01 3.745819872796e-03 -1.137500819349e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-1.047160225188e-19 1.456772521561e-19 1.801181977975e+01) (-6.887120335130e-19 6.700586248646e-19 9.709452950774e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.535               	((-1.445363342074e-02 2.266246655115e+00 -4.756863796215e-20) (-1.483474391818e-01 4.929071071688e-03 1.016696133177e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-2.885863528127e-19 3.959088643727e-19 1.753712985278e+01) (6.181054565888e-18 -9.771816346877e-18 9.499814362371e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.54                	((-1.414845130371e-02 2.181418119815e+00 5.733720653481e-21) (-1.398482666093e-01 5.922109430877e-03 1.966972907666e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((3.661594128755e-20 -1.000631609010e-19 1.693505414441e+01) (1.194882721515e-17 -1.827207684872e-17 9.093377741245e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.545               	((-1.382606169635e-02 2.080325954441e+00 3.781632707159e-20) (-1.287392343723e-01 7.026199290644e-03 2.429811762746e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((2.314649981889e-19 -2.994464719204e-19 1.620143505197e+01) (1.483487624514e-17 -2.319914695037e-17 8.537953084695e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.55                	((-1.299565873742e-02 1.956056266934e+00 4.483657952337e-20) (-1.156763769690e-01 8.012371692664e-03 8.421596162792e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((2.704459469548e-19 -3.625719328471e-19 1.527944176473e+01) (5.138546680054e-18 -8.073737173775e-18 7.850591051157e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.555               	((-1.144070764159e-02 1.808080158769e+00 5.035699859671e-20) (-1.013814596843e-01 8.155555097834e-03 -3.305340479585e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((3.039667143529e-19 -4.154983379300e-19 1.415983289433e+01) (-2.026351418331e-17 3.108300009565e-17 7.005886156581e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.56                	((-8.610425565490e-03 1.634001788686e+00 2.373210910735e-20) (-8.609380624344e-02 7.626914582663e-03 -1.032489360616e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((1.433136019372e-19 -1.862172112352e-19 1.282351623361e+01) (-6.334288894482e-18 9.954171502265e-18 6.034511510032e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.565               	((-3.928183063579e-03 1.436672234268e+00 -7.467670354981e-21) (-7.026729809108e-02 6.960097244018e-03 7.396190543569e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-4.623910931561e-20 7.097060732507e-20 1.129036757485e+01) (4.545451415641e-18 -7.311762996170e-18 5.013860784866e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.57                	((1.850700732514e-03 1.233891538309e+00 6.114270058051e-20) (-5.378052714429e-02 6.845026280603e-03 -5.599767683862e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((3.718469421338e-19 -4.707479885918e-19 9.710420228938e+00) (-3.447944260622e-17 5.273859443239e-17 4.000738925116e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.575               	((8.296068413737e-03 1.033613134045e+00 3.948696956073e-20) (-3.711618430621e-02 7.200541823130e-03 3.047744832508e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((2.455540627352e-19 -3.713875013985e-19 8.148611072746e+00) (1.880417670418e-18 -2.876923945656e-18 3.016271369177e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.58                	((1.543712033997e-02 8.364609500470e-01 7.055193255778e-20) (-2.072430920449e-02 7.585170034818e-03 5.550694551120e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((4.288578264442e-19 -5.324317039872e-19 6.608033653780e+00) (3.420175184530e-18 -5.128563321796e-18 2.045619212073e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.585               	((2.371703898695e-02 6.382170463796e-01 -4.159391875583e-21) (-5.020968462603e-03 7.821385869757e-03 -7.467540591817e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-3.141165363963e-20 1.401828270334e-19 5.052082472016e+00) (-4.656792571282e-17 7.072754904271e-17 1.097146772132e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.59                	((3.329505525830e-02 4.384288008694e-01 4.475141139681e-20) (9.592286660538e-03 8.011462563650e-03 -7.875251628279e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((2.724576624983e-19 -3.526852548622e-19 3.473875783103e+00) (-4.928148092489e-17 7.426101448747e-17 2.060266783987e-02) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.595               	((4.372912469123e-02 2.457431526072e-01 -4.797076017374e-20) (2.338869789731e-02 7.404474226407e-03 1.175197701909e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-3.002340980516e-19 4.343517282642e-19 1.942069441817e+00) (7.369585468861e-18 -1.113084886919e-17 -7.149209531578e-02) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.6                 	((5.485371257295e-02 6.450182554264e-02 6.026709804875e-20) (3.593172892014e-02 7.233155755669e-03 1.027843642253e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((3.646060722354e-19 -4.196466727562e-19 4.938271789871e-01) (6.407337787951e-18 -9.383363521677e-18 -1.523517151960e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.605               	((6.630816133842e-02 -1.000332670014e-01 -3.444875831086e-19) (4.654145665145e-02 7.592185221667e-03 -8.059371183394e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-2.147093282563e-18 2.984572217136e-18 -8.238890407630e-01) (-5.035514453540e-18 7.801952152856e-18 -2.168129085021e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.61                	((7.730508333419e-02 -2.443811724952e-01 -2.455646758954e-20) (5.494777297139e-02 8.017836871557e-03 3.207756011523e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-1.544572333926e-19 2.119102798383e-19 -1.976444339654e+00) (2.040802161136e-17 -3.019710680338e-17 -2.673071381819e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.615               	((8.774787859830e-02 -3.689140530654e-01 6.410815613309e-20) (6.121780774247e-02 8.244932459234e-03 6.643319721560e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((3.976738444001e-19 -5.250195318548e-19 -2.968814623127e+00) (4.219216960069e-17 -6.278913341300e-17 -3.065236209312e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.62                	((9.657900071206e-02 -4.685694785357e-01 -4.181565969247e-20) (6.538843677014e-02 8.297133858173e-03 2.261762898154e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-2.623104127576e-19 3.672502402789e-19 -3.751282832383e+00) (1.440603597676e-17 -2.151319431391e-17 -3.344126171577e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.625               	((1.047437211080e-01 -5.527492178659e-01 -1.175874972953e-19) (6.768507237877e-02 8.319384042901e-03 1.728383785201e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-7.328919474645e-19 1.002916811718e-18 -4.405741810786e+00) (1.106402912775e-17 -1.638842553781e-17 -3.508740626737e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.63                	((1.119562217105e-01 -6.207584854470e-01 3.113213772122e-20) (6.830442196397e-02 8.474155090010e-03 1.734815732210e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((1.972755029646e-19 -2.285259640109e-19 -4.924385078450e+00) (1.102311705306e-17 -1.627346413241e-17 -3.555036380413e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.635               	((1.176637997560e-01 -6.703403557005e-01 -2.519863224520e-20) (6.752490754870e-02 8.793917431510e-03 1.756531836370e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-1.598356686387e-19 1.943072769132e-19 -5.287595562177e+00) (1.137241191235e-17 -1.710221485041e-17 -3.496178416356e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.64                	((1.212811075551e-01 -6.985100513227e-01 -2.603307252952e-19) (6.537146573541e-02 9.114463742362e-03 -1.030623972491e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-1.631852756894e-18 2.135488815323e-18 -5.472695736652e+00) (-6.662047289177e-18 9.646268373509e-18 -3.348241360206e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.645               	((1.218455115109e-01 -6.995271284979e-01 -6.999430870913e-20) (6.214992504635e-02 9.485638956344e-03 -2.295797151042e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-4.608044913592e-19 7.071658297679e-19 -5.429387404588e+00) (-1.480120305330e-17 2.131723690190e-17 -3.125276010736e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.65                	((1.197412997269e-01 -6.791691534308e-01 -9.617936226810e-20) (5.818133800068e-02 9.909329713357e-03 -8.664717262316e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-5.845446473221e-19 6.355983175315e-19 -5.205356489008e+00) (-5.720214717799e-18 8.506128617368e-18 -2.847005685453e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.655               	((1.137446765026e-01 -6.309268963218e-01 9.297859949584e-20) (5.372302413731e-02 1.030848782519e-02 6.050326520792e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((5.764992293961e-19 -6.893665688062e-19 -4.744044201526e+00) (3.949819629784e-18 -5.734778364211e-18 -2.537243696129e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
