# Forces            
# CofR              : (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
# Time              forces(pressure viscous porous)	moments(pressure viscous porous)
0.08                	((1.193674947113e-02 -6.176960489285e-02 7.001958748259e-26) (7.300573366021e-02 3.471075649204e-05 -1.683907911922e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((4.099843342316e-25 -4.656901910353e-25 -4.544646339081e-01) (-1.063728842388e-18 5.994993089747e-19 -4.378159729281e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.085               	((1.139209640143e-02 -5.820748885897e-02 1.507743821560e-26) (5.197249415518e-02 1.623666194255e-05 6.660521799890e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((9.114617797551e-26 -1.280650301107e-25 -4.254841819443e-01) (4.018454039575e-18 -4.234499782103e-18 -3.117238534515e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.09                	((1.084571367850e-02 -6.569405682309e-02 -3.125150605482e-25) (3.344005538160e-02 -4.171758860727e-06 -9.573092398950e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-1.876462982383e-24 1.883832605292e-24 -4.699908143342e-01) (-5.802591642397e-18 6.611307468086e-18 -2.006532262950e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.095               	((1.028446293538e-02 -7.002444395227e-02 2.203785024558e-25) (1.674092166951e-02 -2.592143732500e-05 1.243053252559e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((1.292277870114e-24 -8.918060845967e-25 -4.978270700357e-01) (7.418946016035e-18 -9.359950309760e-18 -1.005924298089e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.1                 	((9.693676798629e-03 -7.535104426877e-02 -3.997045431634e-25) (1.110872512346e-03 -2.577604666539e-05 1.480839974017e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-2.409107272595e-24 2.777949415517e-24 -5.299873070808e-01) (8.897738482268e-18 -1.084695976983e-17 -6.821628680481e-03) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.105               	((9.085937675029e-03 -8.595910100427e-02 -7.361306825811e-26) (-1.380197374818e-02 -3.249317142029e-05 -8.309886847249e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-4.277288334056e-25 3.881668200060e-25 -5.989693582239e-01) (-4.975949279211e-18 6.051260994566e-18 8.261300629943e-02) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.11                	((8.439453638270e-03 -9.489751880621e-02 1.837498193743e-24) (-2.836722326614e-02 -2.952350884465e-05 -1.346849957814e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((1.112430451079e-23 -1.209956190257e-23 -6.597548444708e-01) (-8.189332884334e-19 1.051460833650e-18 1.700162917605e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.115               	((7.745148432967e-03 -9.470560800180e-02 6.416100227198e-24) (-4.245920128144e-02 -3.516075537967e-05 -5.653397184624e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((3.853455720660e-23 -4.048599904763e-23 -6.567899921841e-01) (-3.434416629819e-18 3.333922746151e-18 2.545390963706e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.12                	((7.008345119159e-03 -1.024007756446e-01 1.008000876347e-24) (-5.601136128076e-02 -2.491632906863e-05 7.200911709744e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((6.095251716497e-24 -4.636667354466e-24 -7.074315552392e-01) (4.313328330987e-18 -3.619225648998e-18 3.359178438535e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.125               	((6.237096052896e-03 -1.047895684592e-01 -5.791095514689e-25) (-6.904169210396e-02 -1.821800820343e-05 6.550156307632e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-3.203993687674e-24 5.757836364067e-24 -7.228659927008e-01) (3.899868340275e-18 -4.782405648295e-18 4.141500726991e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
